candle_idx,timestamp,sweep_type,bias,swing_price,close_price,rsi,regime,entry_price,exit_price,mfe_pct,mae_pct,outcome
2080,2024-11-27 00:00:00+00:00,LOW,BULLISH,92534.93,92547.72,35.77761657195832,RANGING,92547.72,95483.99,5.227940785575265,0.2442847862702633,CORRECT
2152,2024-12-09 00:00:00+00:00,LOW,BULLISH,99012.73,99141.17,32.29459567361971,RANGING,99141.17,97756.78,1.314095849383256,4.962993678610002,WRONG
2221,2024-12-20 12:00:00+00:00,LOW,BULLISH,95539.67,96921.09,34.73325879862233,HIGH_VOL,96921.09,97230.08,2.7604724627013693,1.6003740775098498,CORRECT
2276,2024-12-29 16:00:00+00:00,LOW,BULLISH,93234.31,93424.94,25.443050720676652,RANGING,93424.94,92340.94,1.5900893273252232,2.3053266076488783,WRONG
2343,2025-01-09 20:00:00+00:00,LOW,BULLISH,92500.0,92547.44,28.014021914784564,RANGING,92547.44,94217.48,3.5824653820786354,0.36542339798918516,CORRECT
2366,2025-01-13 16:00:00+00:00,LOW,BULLISH,92209.25,92253.2,34.96256972813802,TRENDING_DOWN,92253.2,97287.67,5.708289793741574,0.4328413540126496,CORRECT
2428,2025-01-24 00:00:00+00:00,LOW,BULLISH,103100.0,103895.59,36.38365393077715,RANGING,103895.59,104666.42,3.1805103565993544,0.10102449969242376,CORRECT
2478,2025-02-01 08:00:00+00:00,LOW,BULLISH,101506.0,102005.24,28.082496282688098,RANGING,102005.24,98234.55,0.3008276829700127,5.1348146428556,WRONG
2506,2025-02-06 00:00:00+00:00,LOW,BULLISH,97310.05,97370.59,24.703463122325815,TRENDING_DOWN,97370.59,97775.03,1.8604796376400694,1.7414190465519312,CORRECT
2507,2025-02-06 04:00:00+00:00,LOW,BULLISH,97902.85,98242.0,33.193233425108545,RANGING,98242.0,98329.4,2.029468048288913,2.6129761201929864,CORRECT
2511,2025-02-06 20:00:00+00:00,LOW,BULLISH,96145.76,96564.62,35.381769403734154,TRENDING_DOWN,96564.62,96214.84,3.8017754328655755,0.9834450754323778,WRONG
2529,2025-02-09 20:00:00+00:00,LOW,BULLISH,95674.96,96475.82,35.258113056286405,TRENDING_DOWN,96475.82,98282.91,2.0981215811381473,1.2631351565604831,CORRECT
2545,2025-02-12 12:00:00+00:00,LOW,BULLISH,95739.37,95804.75,38.871350181369294,RANGING,95804.75,96625.29,2.4166129549943984,0.7353393229458928,CORRECT
2633,2025-02-27 04:00:00+00:00,LOW,BULLISH,85836.18,86205.77,32.120384456980474,HIGH_VOL,86205.77,83992.75,0.9142079468694395,9.324155448063403,WRONG
2641,2025-02-28 12:00:00+00:00,LOW,BULLISH,82111.12,83992.75,39.16620401688869,HIGH_VOL,83992.75,86018.76,3.0267017093737336,0.9761437743138538,CORRECT
2705,2025-03-11 04:00:00+00:00,LOW,BULLISH,80000.0,80399.74,30.972211390819794,HIGH_VOL,80399.74,81712.02,5.028561037635193,1.7409633414237538,CORRECT
2739,2025-03-16 20:00:00+00:00,LOW,BULLISH,82373.06,82562.57,32.22988113556073,RANGING,82562.57,83150.66,2.659667692030419,0.39565144350521486,CORRECT
2825,2025-03-31 04:00:00+00:00,LOW,BULLISH,81608.99,81918.99,26.34674524161224,TRENDING_DOWN,81918.99,85288.24,4.3952812406500525,0.7836644470348098,CORRECT
2826,2025-03-31 08:00:00+00:00,LOW,BULLISH,81966.0,82199.88,31.51126382951142,TRENDING_DOWN,82199.88,84955.25,4.038546041673045,0.6907431008415196,CORRECT
2929,2025-04-17 12:00:00+00:00,LOW,BULLISH,84345.03,84536.49,39.32659362672751,TRENDING_UP,84536.49,84466.47,1.1337707539075694,0.29505601663850434,WRONG
2964,2025-04-23 08:00:00+00:00,HIGH,BEARISH,93952.62,93485.87,80.00886944238154,TRENDING_UP,93485.87,93618.4,1.9261627452362613,1.2837555023021177,WRONG
2991,2025-04-27 20:00:00+00:00,LOW,BULLISH,93680.0,93780.57,33.4730308585105,RANGING,93780.57,94956.23,1.9962450644093934,1.014207953737117,CORRECT
2992,2025-04-28 00:00:00+00:00,LOW,BULLISH,92880.01,93884.88,31.08051597921913,RANGING,93884.88,95161.84,1.8829230010199711,0.43444695248053217,CORRECT
3043,2025-05-06 12:00:00+00:00,LOW,BULLISH,93500.01,94558.11,39.814876766988654,RANGING,94558.11,97058.32,3.3629479269414357,0.36348019223311157,CORRECT
