candle_idx,timestamp,sweep_type,bias,swing_price,sweep_price,close_price,rsi,rsi_extreme,entry_price,exit_price,mfe_pct,mae_pct,net_move_pct,outcome,regime
2517,2025-02-07 20:00:00+00:00,LOW,BULLISH,96161.01,95614.96,96537.08,43.36284270329356,False,96537.08,97084.12,0.834,0.885,0.567,CORRECT,TRENDING_DOWN
2522,2025-02-08 16:00:00+00:00,LOW,BULLISH,95785.57,95725.42,96610.26,38.756396536627996,False,96610.26,96809.69,0.758,1.946,0.206,CORRECT,TRENDING_DOWN
2526,2025-02-09 08:00:00+00:00,HIGH,BEARISH,96787.53,97315.33,96566.88,44.07781938699619,False,96566.88,97405.39,1.901,1.864,-0.868,WRONG,TRENDING_DOWN
2529,2025-02-09 20:00:00+00:00,LOW,BULLISH,95674.96,94730.67,96475.82,35.258113056286405,False,96475.82,98282.91,2.098,1.263,1.873,CORRECT,TRENDING_DOWN
2530,2025-02-10 00:00:00+00:00,LOW,BULLISH,95614.96,95257.2,96809.69,49.06221866559967,False,96809.69,98158.12,1.746,0.195,1.393,CORRECT,RANGING
2533,2025-02-10 12:00:00+00:00,HIGH,BEARISH,97342.28,98367.23,97252.11,59.538483325333125,False,97252.11,95774.08,2.489,1.283,1.52,CORRECT,RANGING
2537,2025-02-11 04:00:00+00:00,HIGH,BEARISH,98367.23,98500.0,98282.91,67.44230501876831,False,98282.91,95804.75,4.29,0.071,2.521,CORRECT,RANGING
2539,2025-02-11 12:00:00+00:00,LOW,BULLISH,96876.0,96615.56,97020.95,49.40612173141323,False,97020.95,97862.53,1.133,3.045,0.867,CORRECT,RANGING
2541,2025-02-11 20:00:00+00:00,LOW,BULLISH,95682.33,94902.58,95774.08,45.159795892755575,False,95774.08,96078.39,2.449,1.782,0.318,CORRECT,RANGING
2543,2025-02-12 04:00:00+00:00,LOW,BULLISH,95739.37,95222.62,96053.57,47.36020165621167,False,96053.57,96004.64,2.151,2.068,-0.051,WRONG,RANGING
2545,2025-02-12 12:00:00+00:00,LOW,BULLISH,94730.67,94066.92,95804.75,38.871350181369294,False,95804.75,96625.29,2.417,0.735,0.856,CORRECT,RANGING
2558,2025-02-14 16:00:00+00:00,HIGH,BEARISH,98119.98,98890.11,97994.91,62.4784059600861,False,97994.91,97551.33,1.297,0.326,0.453,CORRECT,RANGING
2568,2025-02-16 08:00:00+00:00,LOW,BULLISH,97320.0,97065.45,97336.01,52.69617365802292,False,97336.01,95534.03,0.011,2.194,-1.851,WRONG,RANGING
2569,2025-02-16 12:00:00+00:00,HIGH,BEARISH,97253.24,97347.06,96919.5,49.447990568062494,False,96919.5,95781.8,1.774,0.39,1.174,CORRECT,RANGING
2571,2025-02-16 20:00:00+00:00,HIGH,BEARISH,96493.91,97297.77,96119.88,40.459936142835176,False,96119.88,95430.03,0.957,0.968,0.718,CORRECT,RANGING
2578,2025-02-18 00:00:00+00:00,LOW,BULLISH,95811.44,95535.83,96200.47,30.266379366020473,False,96200.47,96408.32,0.55,2.981,0.216,CORRECT,RANGING
2580,2025-02-18 08:00:00+00:00,LOW,BULLISH,95200.0,95075.0,95605.56,27.13403670738191,False,95605.56,96192.99,1.176,2.377,0.614,CORRECT,RANGING
2581,2025-02-18 12:00:00+00:00,HIGH,BEARISH,96428.76,96730.0,95523.15,28.547619341995997,False,95523.15,96632.03,2.293,1.42,-1.161,WRONG,RANGING
2583,2025-02-18 20:00:00+00:00,LOW,BULLISH,95075.0,93668.0,95607.4,40.06084240060834,False,95607.4,96876.04,1.844,0.635,1.327,CORRECT,RANGING
2589,2025-02-19 20:00:00+00:00,HIGH,BEARISH,96730.0,96880.0,96632.03,56.93598945701917,False,96632.03,98217.89,0.22,2.211,-1.641,WRONG,RANGING
2590,2025-02-20 00:00:00+00:00,HIGH,BEARISH,97297.77,97370.33,97073.09,60.62804534455893,False,97073.09,98662.06,0.463,1.922,-1.637,WRONG,RANGING
2591,2025-02-20 04:00:00+00:00,HIGH,BEARISH,97050.64,97370.17,96876.04,57.60962691798418,False,96876.04,98127.24,0.078,2.727,-1.292,WRONG,RANGING
2593,2025-02-20 12:00:00+00:00,HIGH,BEARISH,97370.33,98076.95,96918.01,61.19674326907152,False,96918.01,96157.03,2.266,2.682,0.785,CORRECT,RANGING
2598,2025-02-21 08:00:00+00:00,HIGH,BEARISH,98768.54,98938.4,98662.06,76.80922850328865,False,98662.06,96647.62,3.994,0.867,2.042,CORRECT,RANGING
2600,2025-02-21 16:00:00+00:00,HIGH,BEARISH,95919.06,98778.36,95232.71,42.848696096501634,False,95232.71,96443.15,0.536,1.837,-1.271,WRONG,RANGING
2601,2025-02-21 20:00:00+00:00,LOW,BULLISH,95000.01,94721.92,96157.03,51.37054277537656,False,96157.03,96540.01,0.858,0.405,0.398,CORRECT,RANGING
2605,2025-02-22 12:00:00+00:00,HIGH,BEARISH,96700.0,96982.52,96587.42,48.145230114337444,False,96587.42,96265.98,1.391,0.251,0.333,CORRECT,RANGING
2609,2025-02-23 04:00:00+00:00,LOW,BULLISH,96350.48,96153.43,96540.01,34.5539580274221,False,96540.01,94324.99,0.0,2.824,-2.294,WRONG,RANGING
2613,2025-02-23 20:00:00+00:00,LOW,BULLISH,96121.83,95513.51,96265.98,35.82687598230916,False,96265.98,89300.0,0.259,8.391,-7.236,WRONG,RANGING
2615,2025-02-24 04:00:00+00:00,LOW,BULLISH,95243.91,95072.6,95889.99,46.69328155647581,False,95889.99,87121.92,0.313,10.485,-9.144,WRONG,RANGING
2629,2025-02-26 12:00:00+00:00,LOW,BULLISH,85836.18,85350.0,87447.31,17.70651325754676,True,87447.31,84625.19,0.292,6.102,-3.227,WRONG,HIGH_VOL
2641,2025-02-28 12:00:00+00:00,LOW,BULLISH,82111.12,80015.61,83992.75,39.16620401688869,False,83992.75,86018.76,3.027,0.976,2.412,CORRECT,HIGH_VOL
2645,2025-03-01 04:00:00+00:00,HIGH,BEARISH,85116.19,86534.96,84691.34,51.58102292368663,False,84691.34,87414.26,0.462,4.706,-3.215,WRONG,HIGH_VOL
2660,2025-03-03 16:00:00+00:00,HIGH,BEARISH,86534.96,90939.45,85510.54,52.293804809623275,False,85510.54,86810.0,4.756,4.054,-1.52,WRONG,HIGH_VOL
2660,2025-03-03 16:00:00+00:00,LOW,BULLISH,85485.09,85450.0,85510.54,52.293804809623275,False,85510.54,86810.0,4.054,4.756,1.52,CORRECT,HIGH_VOL
2661,2025-03-03 20:00:00+00:00,HIGH,BEARISH,86500.0,86977.35,86161.1,53.471994960741526,False,86161.1,87594.53,5.475,3.268,-1.664,WRONG,HIGH_VOL
2665,2025-03-04 12:00:00+00:00,LOW,BULLISH,82405.43,81444.0,82907.99,42.942727085801415,False,82907.99,90603.73,9.76,1.152,9.282,CORRECT,HIGH_VOL
2666,2025-03-04 16:00:00+00:00,LOW,BULLISH,84300.41,81953.03,88205.81,53.77237716663336,False,88205.81,91610.85,4.302,2.128,3.86,CORRECT,HIGH_VOL
2671,2025-03-05 12:00:00+00:00,HIGH,BEARISH,88977.27,90943.34,88320.07,41.68789795741054,False,88320.07,89921.85,0.874,5.092,-1.814,WRONG,HIGH_VOL
2677,2025-03-06 12:00:00+00:00,HIGH,BEARISH,90943.34,91463.3,90813.77,72.5340437955348,False,90813.77,86756.98,6.833,0.513,4.467,CORRECT,HIGH_VOL
2680,2025-03-07 00:00:00+00:00,LOW,BULLISH,86329.22,84608.27,86977.98,46.31429489122963,False,86977.98,85915.46,4.758,2.044,-1.222,WRONG,HIGH_VOL
2681,2025-03-07 04:00:00+00:00,LOW,BULLISH,87547.8,86834.89,88356.65,53.23982535757839,False,88356.65,86371.4,3.123,3.573,-2.247,WRONG,HIGH_VOL
2701,2025-03-10 12:00:00+00:00,LOW,BULLISH,80000.0,79134.11,80005.0,25.97575994572115,False,80005.0,82914.51,4.493,4.312,3.637,CORRECT,TRENDING_DOWN
2713,2025-03-12 12:00:00+00:00,HIGH,BEARISH,84033.66,84442.69,81712.02,48.0319197348767,False,81712.02,81073.43,2.23,3.18,0.782,CORRECT,HIGH_VOL
2715,2025-03-12 20:00:00+00:00,HIGH,BEARISH,83767.27,83872.4,83659.43,65.15781099512965,False,83659.43,82159.18,4.506,0.779,1.793,CORRECT,HIGH_VOL
2716,2025-03-13 00:00:00+00:00,HIGH,BEARISH,83600.0,84310.8,83556.96,70.41305540514868,False,83556.96,83236.54,4.389,0.379,0.383,CORRECT,HIGH_VOL
2721,2025-03-13 20:00:00+00:00,LOW,BULLISH,80572.21,80053.0,81073.43,49.43762170217851,False,81073.43,83847.18,5.236,0.373,3.421,CORRECT,TRENDING_DOWN
2722,2025-03-14 00:00:00+00:00,LOW,BULLISH,81247.25,80771.17,81875.88,44.20090358904637,False,81875.88,84118.58,4.205,0.154,2.739,CORRECT,RANGING
2727,2025-03-14 20:00:00+00:00,HIGH,BEARISH,84442.69,84579.92,83980.49,60.49932749726236,False,83980.49,84286.17,0.438,0.845,-0.364,WRONG,RANGING
2729,2025-03-15 04:00:00+00:00,HIGH,BEARISH,84310.8,84577.31,83847.18,50.935719205493406,False,83847.18,83311.6,1.758,0.776,0.639,CORRECT,RANGING
2730,2025-03-15 08:00:00+00:00,LOW,BULLISH,83711.65,83612.24,84118.58,52.75268298612334,False,84118.58,83102.88,1.158,2.075,-1.207,WRONG,RANGING
2736,2025-03-16 08:00:00+00:00,HIGH,BEARISH,83873.66,84347.88,82404.39,53.62340103743169,False,82404.39,84481.92,0.528,3.262,-2.521,WRONG,RANGING
2738,2025-03-16 16:00:00+00:00,HIGH,BEARISH,84690.43,85092.35,83102.88,49.05182540988732,False,83102.88,83128.35,1.364,1.992,-0.031,WRONG,RANGING
2739,2025-03-16 20:00:00+00:00,LOW,BULLISH,82373.06,81969.44,82562.57,32.22988113556073,False,82562.57,83150.66,2.66,0.396,0.712,CORRECT,RANGING
2740,2025-03-17 00:00:00+00:00,LOW,BULLISH,83612.24,82504.95,83658.05,43.56650176175397,False,83658.05,82573.41,1.315,1.7,-1.297,WRONG,RANGING
2744,2025-03-17 16:00:00+00:00,HIGH,BEARISH,84498.23,84758.46,84481.92,52.9566663737179,False,84481.92,83045.81,3.974,0.029,1.7,CORRECT,TRENDING_UP
2744,2025-03-17 16:00:00+00:00,LOW,BULLISH,83744.92,83102.01,84481.92,52.9566663737179,False,84481.92,83045.81,0.029,3.974,-1.7,WRONG,TRENDING_UP
2745,2025-03-17 20:00:00+00:00,HIGH,BEARISH,84430.99,84506.79,84011.4,47.48089360578398,False,84011.4,83217.46,3.436,0.022,0.945,CORRECT,TRENDING_UP
2746,2025-03-18 00:00:00+00:00,HIGH,BEARISH,83853.47,84029.67,83128.35,41.90479736653031,False,83128.35,83878.5,2.41,1.147,-0.902,WRONG,RANGING
2747,2025-03-18 04:00:00+00:00,LOW,BULLISH,82416.98,82235.91,83150.66,41.68936726241886,False,83150.66,84746.38,2.122,2.436,1.919,CORRECT,RANGING
2750,2025-03-18 16:00:00+00:00,LOW,BULLISH,81969.44,81222.54,82308.47,49.364418010453456,False,82308.47,85904.18,6.299,0.559,4.369,CORRECT,RANGING
2751,2025-03-18 20:00:00+00:00,LOW,BULLISH,82235.91,81848.31,82698.76,45.6405820524347,False,82698.76,85825.76,5.797,0.197,3.781,CORRECT,RANGING
2755,2025-03-19 12:00:00+00:00,HIGH,BEARISH,84758.46,84915.27,84746.38,58.463324283152716,False,84746.38,84183.42,1.382,3.241,0.664,CORRECT,RANGING
2768,2025-03-21 16:00:00+00:00,LOW,BULLISH,83596.75,83321.02,83918.76,50.266627460641615,False,83918.76,84232.39,0.764,0.309,0.374,CORRECT,RANGING
